fast_actual_share,fast_predicted_share,station_count,country_code,demand_score_filled,ev_models,actual_gap,predicted_gap,data_quality_flag,confidence_level,risk_cluster,risk_level
0.0,0.17236339476089688,4,VN,0.9499999637795313,2.0,0.9499999637795313,0.7776365690186344,low_station_count,low,1,High
0.0,0.12418383671949342,55,MT,0.8920370892166337,111.0,0.8920370892166337,0.7678532524971403,ok,standard,1,High
0.04375231738969225,0.13181480477817115,8091,NL,0.8920370892166337,111.0,0.8482847718269415,0.7602222844384625,ok,standard,1,High
0.056818181818181816,0.17648500832532213,88,LU,0.8920370892166337,111.0,0.835218907398452,0.7155520808913116,ok,standard,1,High
0.0625,0.19608534438433114,96,AD,0.8710109347905514,,0.8085109347905514,0.6749255904062202,ok,standard,1,High
0.0690846286701209,0.2072589619593576,579,MX,0.8464638256037036,1.0,0.7773791969335827,0.6392048636443459,ok,standard,1,High
0.027777777777777776,0.27973593833667054,36,MC,0.8710109347905514,,0.8432331570127736,0.5912749964538808,low_station_count,low,1,High
0.12981465392412395,0.32657235906422494,13812,FR,0.8920370892166337,111.0,0.7622224352925098,0.5654647301524087,ok,standard,1,High
0.1285140562248996,0.33034012280141817,1245,BE,0.8920370892166337,111.0,0.7635230329917342,0.5616969664152156,ok,standard,1,High
0.13360881542699724,0.3356481163564032,2178,DK,0.8920370892166337,111.0,0.7584282737896365,0.5563889728602305,ok,standard,1,High
0.04878048780487805,0.32105536136808716,41,IM,0.8710109347905514,,0.8222304469856733,0.5499555734224642,low_station_count,low,1,High
0.13965354600806107,0.36605515823619134,23322,DE,0.8920370892166337,111.0,0.7523835432085726,0.5259819309804423,ok,standard,1,High
0.0,0.3491138510548502,12,KE,0.8710109347905514,,0.8710109347905514,0.5218970837357011,low_station_count,low,1,High
0.14285714285714285,0.38279959931021024,91,CY,0.8920370892166337,111.0,0.7491799463594908,0.5092374899064235,ok,standard,1,High
0.13793103448275862,0.37040546822226256,58,LK,0.8710109347905514,,0.7330799003077928,0.5006054665682889,ok,standard,1,High
0.0,0.37140609317549966,25,SM,0.8710109347905514,,0.8710109347905514,0.4996048416150517,low_station_count,low,1,High
0.0,0.38708003799868274,1,SZ,0.8710109347905514,,0.8710109347905514,0.4839308967918686,low_station_count,low,1,High
0.16541100999552438,0.4152586777487808,26812,GB,0.8923172369087345,90.0,0.7269062269132102,0.47705855915995377,ok,standard,1,High
0.1765625,0.4176853902881666,1280,AT,0.8920370892166337,111.0,0.7154745892166336,0.4743516989284671,ok,standard,1,High
0.0,0.4100569174489258,1,NAM,0.8710109347905514,,0.8710109347905514,0.46095401734162555,low_station_count,low,1,High
0.1111111111111111,0.41721378210555826,9,SG,0.8710109347905514,,0.7598998236794403,0.4537971526849931,low_station_count,low,1,High
0.17679852327209208,0.43065801153825767,80719,US,0.881800972984704,60.0,0.7050024497126118,0.4511429614464463,ok,standard,1,High
0.25,0.4527041854657116,12,CN,0.8942497355310087,26.0,0.6442497355310087,0.4415455500652971,low_station_count,low,1,High
0.0,0.41156038711565934,21,EC,0.8464638256037036,1.0,0.8464638256037036,0.43490343848804425,low_station_count,low,1,High
0.0,0.43904414654445034,1,BW,0.8710109347905514,,0.8710109347905514,0.431966788246101,low_station_count,low,1,High
0.19487453283502404,0.4607261248844833,1873,FI,0.8920370892166337,111.0,0.6971625563816097,0.43131096433215044,ok,standard,1,High
0.15384615384615385,0.45050113462722663,39,BA,0.8710109347905514,,0.7171647809443975,0.42050980016332473,low_station_count,low,1,High
0.19585112873703478,0.45618852819735933,1639,JP,0.8704182151893617,7.0,0.6745670864523269,0.41422968699200235,ok,standard,1,High
0.18,0.46041794778370815,50,GE,0.8710109347905514,,0.6910109347905513,0.4105929870068432,ok,standard,1,High
0.17557251908396945,0.44833887564991043,131,AE,0.8575031263667221,21.0,0.6819306072827527,0.4091642507168117,ok,standard,1,High
0.16591928251121077,0.46300674217685983,223,HK,0.8710109347905514,,0.7050916522793406,0.40800419261369153,ok,standard,1,High
0.21550741163055873,0.47943753984051807,877,CH,0.8710109347905514,,0.6555035231599926,0.3915733949500333,ok,standard,1,High
0.22094483624770553,0.50878735282244,10351,IT,0.8920370892166337,111.0,0.6710922529689282,0.3832497363941937,ok,standard,1,High
0.22453703703703703,0.5173079814021249,864,HU,0.8920370892166337,111.0,0.6675000521795966,0.37472910781450885,ok,standard,1,High
0.20023347259768984,0.4756725798717719,16276,CA,0.8385855157532939,5.0,0.638352043155604,0.36291293588152196,ok,standard,1,High
0.0,0.5169718474856336,15,GG,0.8710109347905514,,0.8710109347905514,0.35403908730491773,low_station_count,low,1,High
0.24086412275388652,0.5389320481600818,4953,SE,0.8920370892166337,111.0,0.6511729664627472,0.35310504105655194,ok,standard,1,High
0.1875,0.5201307158353552,32,ME,0.8710109347905514,,0.6835109347905514,0.35088021895519617,low_station_count,low,1,High
0.19293478260869565,0.4959039065275614,368,DO,0.8464638256037036,1.0,0.6535290429950079,0.3505599190761422,ok,standard,1,High
0.24075924075924077,0.5449793108444161,2002,IE,0.8920370892166337,111.0,0.6512778484573929,0.34705777837221763,ok,standard,1,High
0.375,0.5303774579935507,8,RE,0.8710109347905514,,0.49601093479055136,0.3406334767970006,low_station_count,low,0,Medium
0.23194748358862144,0.5403762501224857,457,EG,0.8710109347905514,,0.63906345120193,0.33063468466806567,ok,standard,1,High
0.0,0.5408810565434361,1,ET,0.8710109347905514,,0.8710109347905514,0.33012987824711526,low_station_count,low,1,High
0.0,0.5355931025752477,7,PE,0.8464638256037036,1.0,0.8464638256037036,0.31087072302845586,low_station_count,low,1,High
0.0,0.5668123497724936,3,GH,0.8710109347905514,,0.8710109347905514,0.30419858501805774,low_station_count,low,1,High
0.2939457202505219,0.5696289804084448,4790,NO,0.8710109347905514,,0.5770652145400295,0.3013819543821066,ok,standard,0,Medium
0.29061371841155237,0.5955999769642122,554,CZ,0.8920370892166337,111.0,0.6014233708050813,0.29643711225242153,ok,standard,0,Medium
0.20689655172413793,0.5848551569207976,29,JE,0.8710109347905514,,0.6641143830664135,0.28615577786975377,low_station_count,low,1,High
0.3140794223826715,0.607843430472937,277,GR,0.8920370892166337,111.0,0.5779576668339622,0.28419365874369673,ok,standard,0,Medium
0.0,0.6002794897077737,1,NP,0.8710109347905514,,0.8710109347905514,0.2707314450827777,low_station_count,low,1,High
0.0,0.6023683316682942,3,PK,0.8710109347905514,,0.8710109347905514,0.2686426031222572,low_station_count,low,1,High
1.0,0.6034186347921254,1,MM,0.8710109347905514,,-0.12898906520944864,0.26759229999842593,low_station_count,low,2,Low
0.2978723404255319,0.6039721468293323,611,MY,0.8710109347905514,,0.5731385943650195,0.26703878796121905,ok,standard,0,Medium
0.2967289719626168,0.6138595678463692,428,IS,0.8710109347905514,,0.5742819628279345,0.25715136694418217,ok,standard,0,Medium
0.368763557483731,0.6567920973790953,461,PL,0.8920370892166337,111.0,0.5232735317329027,0.23524499183753844,ok,standard,0,Medium
0.3333333333333333,0.6415931317237894,3,TT,0.8710109347905514,,0.537677601457218,0.22941780306676196,low_station_count,low,0,Medium
0.35480251346499103,0.6711586964428553,17824,ES,0.8920370892166337,111.0,0.5372345757516427,0.2208783927737784,ok,standard,0,Medium
0.4375,0.6504251500325923,16,PH,0.8710109347905514,,0.43351093479055136,0.2205857847579591,low_station_count,low,0,Medium
0.0,0.6510689799393373,1,BB,0.8710109347905514,,0.8710109347905514,0.21994195485121404,low_station_count,low,1,High
0.25,0.6521740721368996,12,MK,0.8710109347905514,,0.6210109347905514,0.21883686265365176,low_station_count,low,0,Medium
0.35177865612648224,0.6742009714564706,253,SK,0.8920370892166337,111.0,0.5402584330901514,0.2178361177601631,ok,standard,0,Medium
0.0,0.6608084432797429,1,UZ,0.8710109347905514,,0.8710109347905514,0.2102024915108085,low_station_count,low,1,High
0.125,0.6642188802241858,8,LI,0.8710109347905514,,0.7460109347905514,0.2067920545663655,low_station_count,low,1,High
0.0,0.6692561705861022,1,KG,0.8710109347905514,,0.8710109347905514,0.20175476420444916,low_station_count,low,1,High
0.36,0.6752735068215191,25,TN,0.8710109347905514,,0.5110109347905514,0.19573742796903226,low_station_count,low,0,Medium
0.3902097902097902,0.6993559825655982,715,RO,0.8920370892166337,111.0,0.5018272990068435,0.19268110665103555,ok,standard,0,Medium
0.25,0.683539698705411,4,AM,0.8710109347905514,,0.6210109347905514,0.18747123608514038,low_station_count,low,0,Medium
0.3654042988741044,0.6839792016044544,977,NZ,0.8710109347905514,,0.505606635916447,0.187031733186097,ok,standard,0,Medium
0.4,0.7086746284877407,185,SI,0.8920370892166337,111.0,0.4920370892166337,0.18336246072889306,ok,standard,0,Medium
0.25,0.6888257060563323,4,PR,0.8710109347905514,,0.6210109347905514,0.18218522873421905,low_station_count,low,0,Medium
0.37742207245155857,0.6910341992681073,1187,IN,0.8710109347905514,,0.4935888623389928,0.1799767355224441,ok,standard,0,Medium
1.0,0.6945275342790447,2,RW,0.8710109347905514,,-0.12898906520944864,0.17648340051150668,low_station_count,low,2,Low
0.5,0.6977752335122906,2,AZ,0.8710109347905514,,0.37101093479055136,0.1732357012782607,low_station_count,low,0,Medium
0.415625,0.7194821205080011,960,LT,0.8920370892166337,111.0,0.4764120892166337,0.17255496870863263,ok,standard,0,Medium
0.3939393939393939,0.7019472919867522,33,JM,0.8710109347905514,,0.47707154085115744,0.16906364280379915,low_station_count,low,0,Medium
1.0,0.7081904226499062,1,UG,0.8710109347905514,,-0.12898906520944864,0.1628205121406452,low_station_count,low,2,Low
0.36257309941520466,0.6940689627097947,171,CR,0.8464638256037036,1.0,0.48389072618849893,0.1523948628939089,ok,standard,0,Medium
0.40217391304347827,0.7048355416053471,644,BR,0.8464638256037036,1.0,0.4442899125602253,0.14162828399835647,ok,standard,0,Medium
0.14285714285714285,0.7317136090664427,7,GI,0.8710109347905514,,0.7281537919334085,0.1392973257241087,low_station_count,low,0,Medium
0.4093567251461988,0.7133710124001601,171,CL,0.8464638256037036,1.0,0.4371071004575048,0.1330928132035435,ok,standard,0,Medium
0.0,0.7402298704470964,1,AF,0.8710109347905514,,0.8710109347905514,0.13078106434345493,low_station_count,low,1,High
1.0,0.745164934276288,2,MO,0.8710109347905514,,-0.12898906520944864,0.1258460005142633,low_station_count,low,2,Low
0.4563106796116505,0.7455247892729353,412,ID,0.8710109347905514,,0.41470025517890086,0.12548614551761605,ok,standard,0,Medium
0.3333333333333333,0.7217915293532812,6,PA,0.8464638256037036,1.0,0.5131304922703703,0.12467229625042242,low_station_count,low,0,Medium
0.4734848484848485,0.7677962234088155,3696,PT,0.8920370892166337,111.0,0.4185522407317852,0.12424086580781823,ok,standard,0,Medium
0.4318181818181818,0.7349999351318338,88,JO,0.8575031263667221,21.0,0.4256849445485403,0.12250319123488829,ok,standard,0,Medium
0.44036697247706424,0.7521297972226915,109,RS,0.8710109347905514,,0.4306439623134871,0.1188811375678599,ok,standard,0,Medium
0.0,0.741031434175763,3,SA,0.8575031263667221,21.0,0.8575031263667221,0.1164716921909591,low_station_count,low,1,High
0.5084745762711864,0.7794643064324801,59,BG,0.8920370892166337,111.0,0.3835625129454473,0.11257278278415361,ok,standard,0,Medium
0.44370860927152317,0.7647510556995053,151,MA,0.8710109347905514,,0.4273023255190282,0.10625987909104606,ok,standard,0,Medium
0.46582875098193244,0.7522495806617286,1273,TR,0.8575031263667221,21.0,0.39167437538478966,0.10525354570499346,ok,standard,0,Medium
0.0,0.7437395229344326,1,GT,0.8464638256037036,1.0,0.8464638256037036,0.10272430266927102,low_station_count,low,1,High
0.0,0.7549604454241013,1,BH,0.8575031263667221,21.0,0.8575031263667221,0.10254268094262076,low_station_count,low,1,High
0.6,0.7915584989351776,15,AL,0.8710109347905514,,0.2710109347905514,0.07945243585537376,low_station_count,low,0,Medium
0.5355805243445693,0.8192020709088126,267,HR,0.8920370892166337,111.0,0.35645656487206445,0.07283501830782113,ok,standard,0,Medium
0.6666666666666666,0.7991240707047035,3,KZ,0.8710109347905514,,0.20434426812388473,0.07188686408584788,low_station_count,low,2,Low
0.5338709677419354,0.8008104521953885,1240,AU,0.8710109347905514,,0.33713996704861593,0.07020048259516287,ok,standard,0,Medium
0.6818181818181818,0.8038643342127867,22,KH,0.8710109347905514,,0.1891927529723696,0.06714660057776467,low_station_count,low,2,Low
0.6666666666666666,0.8070154976746192,3,AX,0.8710109347905514,,0.20434426812388473,0.06399543711593214,low_station_count,low,2,Low
0.0,0.8143597296566021,1,SJ,0.8710109347905514,,0.8710109347905514,0.05665120513394928,low_station_count,low,1,High
0.5,0.80469925169813,2,IQ,0.8575031263667221,21.0,0.3575031263667221,0.052803874668592155,low_station_count,low,0,Medium
0.5434782608695652,0.794015389194168,138,UY,0.8464638256037036,1.0,0.3029855647341384,0.05244843640953556,ok,standard,0,Medium
0.5245901639344263,0.8028200413239757,61,CO,0.8464638256037036,1.0,0.32187366166927733,0.043643784279727926,ok,standard,0,Medium
0.6037735849056604,0.8422333055784244,159,ZA,0.8710109347905514,,0.267237349884891,0.02877762921212701,ok,standard,0,Medium
0.8,0.8443999333953481,5,FO,0.8710109347905514,,0.07101093479055132,0.026611001395203226,low_station_count,low,2,Low
0.8,0.8529172346474223,15,XK,0.8710109347905514,,0.07101093479055132,0.018093700143129055,low_station_count,low,2,Low
0.6764705882352942,0.8638216763625082,34,MD,0.8710109347905514,,0.1945403465552572,0.007189258428043188,low_station_count,low,2,Low
1.0,0.8711615750388302,4,QA,0.8575031263667221,21.0,-0.1424968736332779,-0.013658448672108081,low_station_count,low,2,Low
0.6999546073536087,0.9021096071696216,2203,RU,0.8710109347905514,,0.17105632743694266,-0.03109867237907027,ok,standard,2,Low
0.9285714285714286,0.906934243808121,28,TH,0.8710109347905514,,-0.05756049378087724,-0.03592330901756968,low_station_count,low,2,Low
0.825,0.9205961744965225,40,BY,0.8710109347905514,,0.046010934790551405,-0.049585239705971174,low_station_count,low,2,Low
0.8636363636363636,0.9082904749584725,22,OM,0.8575031263667221,21.0,-0.006133237269641545,-0.05078734859175038,low_station_count,low,2,Low
0.9545454545454546,0.9003297488626479,22,AR,0.8464638256037036,1.0,-0.108081628941751,-0.05386592325894435,low_station_count,low,2,Low
0.3333333333333333,0.9174734610603142,3,PS,0.8575031263667221,21.0,0.5241697930333888,-0.05997033469359214,low_station_count,low,0,Medium
0.9397590361445783,0.9690568592719343,83,LV,0.8920370892166337,111.0,-0.047721946927944625,-0.07701977005530058,ok,standard,2,Low
0.9230769230769231,0.9750948523865488,169,EE,0.8920370892166337,111.0,-0.031039833860289412,-0.08305776316991509,ok,standard,2,Low
0.8936170212765957,0.9399384491975569,47,PY,0.8464638256037036,1.0,-0.04715319567289211,-0.09347462359385328,low_station_count,low,2,Low
0.8916518650088809,0.965666916770444,563,UA,0.8710109347905514,,-0.02064093021832958,-0.09465598197989267,ok,standard,2,Low
0.9320987654320988,0.9731008966153254,162,TW,0.8710109347905514,,-0.061087830641547436,-0.10208996182477403,ok,standard,2,Low
1.0,0.9877628178027431,161,KR,0.8710109347905514,,-0.12898906520944864,-0.11675188301219175,ok,standard,2,Low
0.9355932203389831,0.9813953701829343,295,IL,0.8575031263667221,21.0,-0.07809009397226097,-0.12389224381621222,ok,standard,2,Low
